name,place_id,restaurant_type,cuisine_type,address,rating,review_count,price_range,Phone_number,website,url,atmosphere,dietary_options,service_options,amenities
Canty's Bar,42,Pub,Irish,"6 Pembroke St, Centre, Cork, T12 A378, Ireland",4.5,45,€10-25,+353 21 901 2345,https://www.google.com/url?q=https://www.facebook.com/CantysBar&opi=79508299&sa=U&ved=0ahUKEwjitIiH3JiQAxV0RmwGHaVLFVcQ61gIFygS&usg=AOvVaw3VxxH6wovEayPP5HinVI8B,https://www.google.com/maps/place/Canty%27s+Bar/data=!4m7!3m6!1s0x4844900ffbaa4dd9:0xe83887a422d59c59!8m2!3d51.8976331!4d-8.4698974!16s%2Fg%2F1tf9mnlp!19sChIJ2U2q-w-QREgRWZzVIqSHOOg?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Coffee Scape,43,Cafe,Portuguese,"31 Pope's Quay, Shandon, Cork, T23 X30E, Ireland",4.9,49,€5-15,+353 21 012 3456,https://www.google.com/url?q=https://instagram.com/coffee.scape.cork%3Figshid%3DYmMyMTA2M2Y%3D&opi=79508299&sa=U&ved=0ahUKEwiksdGS3JiQAxXVUGcHHWtdFE8Q61gIFigO&usg=AOvVaw2o_ogt3toxC9ZUezw0AZEO,https://www.google.com/maps/place/Coffee+Scape/data=!4m7!3m6!1s0x484491d49a731c45:0xba0e1817f6abbd7f!8m2!3d51.901445!4d-8.4764091!16s%2Fg%2F11t9kplwh7!19sChIJRRxzmtSRREgRf72r9hcYDro?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery, Kerbside pickup",Bar
Paper Boys,44,Cafe,Irish,"Tobin St, Centre, Cork, Ireland",4.6,46,€5-15,+353 85 901 2345,https://www.google.com/url?q=https://instagram.com/paperboys_cork%3Figshid%3DMzRlODBiNWFlZA%3D%3D&opi=79508299&sa=U&ved=0ahUKEwj9wuie3JiQAxVwRmwGHYvvHpoQ61gIFigO&usg=AOvVaw2ZKHo7OX4r-qwPfoNyYJTI,https://www.google.com/maps/place/Paper+Boys/data=!4m7!3m6!1s0x48449116ff1b6db5:0xa7e33ab8356e9a4!8m2!3d51.8973846!4d-8.4767139!16s%2Fg%2F11kqgmnllf!19sChIJtW0b_xaRREgRpOlWg6szfgo?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Café Atrium,45,Cafe,Irish,"Mardyke Arena, Mardyke Walk, Mardyke, Cork, T12 N1FK, Ireland",4.3,43,€5-15,+353 21 123 4567,https://www.google.com/url?q=http://www.cafeatrium.ie/&opi=79508299&sa=U&ved=0ahUKEwi5yKmq3JiQAxUoR2wGHWHqAhEQ61gIGigS&usg=AOvVaw1m73oJdXoG90xW2BvSa5Zl,https://www.google.com/maps/place/Caf%C3%A9+Atrium/data=!4m7!3m6!1s0x4844902fd6c6360b:0xdf6a7ff705d65b3f!8m2!3d51.8945224!4d-8.5002024!16s%2Fg%2F11bxfs2grs!19sChIJCzbG1i-QREgRP1vWBfd_at8?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
The Cottage Community Café,46,Cafe,Irish,"Ave de Rennes, Mahon, Cork, Ireland",5,50,€5-15,+353 21 234 5678,https://www.google.com/url?q=https://www.facebook.com/thecottagecommunitycafe/&opi=79508299&sa=U&ved=0ahUKEwic0MK23JiQAxUrbmwGHdqHA1AQ61gIFigS&usg=AOvVaw2nT4hkwsXisouT-bFgDuRT,https://www.google.com/maps/place/The+Cottage+Community+Caf%C3%A9/data=!4m7!3m6!1s0x48449bae41467e8f:0xdf108ab1a697633f!8m2!3d51.8934216!4d-8.4037546!16s%2Fg%2F11jmqq1jwj!19sChIJj35GQa6bREgRP2OXprGKEN8?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
JJ Walsh's,47,Pub,Irish,"64 Oliver Plunkett St, Centre, Cork, T12 K5FH, Ireland",4,40,€10-25,+353 87 234 5678,https://www.google.com/url?q=https://www.instagram.com/jj_walshs/&opi=79508299&sa=U&ved=0ahUKEwiI6M7A3JiQAxVOTmwGHVgfDsEQ61gIFygS&usg=AOvVaw21VSEyOimyPEjWOAcBtjO9,https://www.google.com/maps/place/JJ+Walsh%27s/data=!4m7!3m6!1s0x484491ee4fe17189:0xbfc7a33e38c7d9eb!8m2!3d51.8971059!4d-8.4739682!16s%2Fg%2F11t67j9kgk!19sChIJiXHhT-6RREgR69nHOD6jx78?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Bierhaus,48,Pub,Continental,"28 Pope's Quay, Shandon, Cork, T23 AE79, Ireland",4.7,47,€10-25,+353 21 345 6789,https://www.google.com/url?q=http://thebierhauscork.com/&opi=79508299&sa=U&ved=0ahUKEwiNhanN3JiQAxX6ZmwGHbSBMtEQ61gIGigS&usg=AOvVaw0oHYTsDqWVkRjnQ9P_5NgT,https://www.google.com/maps/place/Bierhaus/data=!4m7!3m6!1s0x484490116684088d:0x5909061ce0d664ff!8m2!3d51.9015418!4d-8.4766417!16s%2Fg%2F11bw1ybm94!19sChIJjQiEZhGQREgR_2TW4BwGCVk?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Takeaway, Delivery",Bar
Eco,49,Restaurant,Continental,"1/2 Eastville, Douglas East, Cork, T12 R288, Ireland",4.5,45,€10-25,+353 21 456 7891,https://www.google.com/url?q=http://www.eco.ie/&opi=79508299&sa=U&ved=0ahUKEwiF467a3JiQAxUiSmwGHU6EL90Q61gIFygS&usg=AOvVaw0PyhjgIL2nPvR-aYGxpXBe,https://www.google.com/maps/place/Eco/data=!4m7!3m6!1s0x484485454978b67d:0x3aeba3f4a69f4aca!8m2!3d51.8770385!4d-8.4359246!16s%2Fg%2F1tv3n2hp!19sChIJfbZ4SUWFREgRykqfpvSj6zo?authuser=0&hl=en&rclk=1,Quiet,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Cork Coffee Roasters,50,Cafe,Sweets and Savory,"16 Anglesea St, Ballintemple, Cork, T12 XY00, Ireland",4.6,46,€5-15,+353 83 456 7891,https://www.google.com/url?q=http://www.corkcoffeeroasters.ie/&opi=79508299&sa=U&ved=0ahUKEwi66cPm3JiQAxUpUGwGHbFmGdYQ61gIGigS&usg=AOvVaw0nHwnpaX4cSDQSt5JJhzEe,https://www.google.com/maps/place/Cork+Coffee+Roasters/data=!4m7!3m6!1s0x48449110cc15edf3:0xc17725e16e4fa549!8m2!3d51.8946567!4d-8.4651841!16s%2Fg%2F11kkb99479!19sChIJ8-0VzBCRREgRSaVPbuEld8E?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
O'Flynns Gourmet Sausage Co.,51,Deli,Irish,"14 Winthrop St, Centre, Cork, Ireland",4.6,46,€10-25,+353 21 567 8901,https://www.google.com/url?q=http://www.oflynnsgourmetsausages.ie/&opi=79508299&sa=U&ved=0ahUKEwiv0d7y3JiQAxVkR2wGHQhCK04Q61gIGigS&usg=AOvVaw1Z8x2H1dexGt6kU0dNDX9z,https://www.google.com/maps/place/O%27Flynns+Gourmet+Sausage+Co./data=!4m7!3m6!1s0x4844900fe1c281cd:0xb9421b7e29fe748b!8m2!3d51.8980821!4d-8.4706355!16s%2Fg%2F12cnyk4xg!19sChIJzYHC4Q-QREgRi3T-KX4bQrk?authuser=0&hl=en&rclk=1,Casual,Non-Veg,Takeaway,Bar
The Alibi Bar + Kitchen,52,Bar,Irish,"31 Washington Street West, Centre, Cork, T12 VW67, Ireland",4.4,44,€10-25,+353 21 678 9012,https://www.google.com/url?q=https://www.alibi.ie/&opi=79508299&sa=U&ved=0ahUKEwiVqfL-3JiQAxWRXGwGHYy7EkUQ61gIGCgO&usg=AOvVaw15bG4qMMl59ZyLu1_fA3W-,https://www.google.com/maps/place/The+Alibi+Bar+%2B+Kitchen/data=!4m7!3m6!1s0x4844915fc39e7537:0x7ca00d2a632083e9!8m2!3d51.8976143!4d-8.4795392!16s%2Fg%2F11g2zxj9kx!19sChIJN3Wew1-RREgR6YMgYyoNoHw?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
The Black Market,53,Food Market,Continental,"Dornan's Yard, The Black Market, Monahan Rd, Ballintemple, Cork, T12 NXN1, Ireland",4.6,46,€10-25,+353 85 678 9012,https://www.google.com/url?q=https://www.theblackmarketcork.ie/&opi=79508299&sa=U&ved=0ahUKEwiX6f6K3ZiQAxXEWXADHclYNf4Q61gIFigS&usg=AOvVaw2uBls4RVyuSL7nqiwziy6w,https://www.google.com/maps/place/The+Black+Market/data=!4m7!3m6!1s0x48449b90a2c2dc41:0x3f94e0ee1a0c9f7d!8m2!3d51.8959368!4d-8.443586!16s%2Fg%2F11q7fzfcdp!19sChIJQdzCopCbREgRfZ8MGu7glD8?authuser=0&hl=en&rclk=1,Casual,Non-Veg,Takeaway,Bar
Dunnes Café,54,Cafe,Irish,"Bishopstown Rd, Bishopstown, Cork, Ireland",4.6,46,€5-15,+353 21 789 0123,,https://www.google.com/maps/place/Dunnes+Caf%C3%A9/data=!4m7!3m6!1s0x48448fec5d07d705:0xc2a518a02672138b!8m2!3d51.8739117!4d-8.521219!16s%2Fg%2F11y1fvbcb9!19sChIJBdcHXeyPREgRixNyJqAYpcI?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway",Bar
Myo Cafe,55,Cafe,Irish,"34 Pope's Quay, Shandon, Cork, T23 F590, Ireland",4.7,47,€5-15,+353 21 890 1234,https://www.google.com/url?q=http://myocafe.ie/&opi=79508299&sa=U&ved=0ahUKEwiz1J-j3ZiQAxVOSWwGHfN3BmIQ61gIGigS&usg=AOvVaw2r7gcdD6mACzJHtj0BBm2z,https://www.google.com/maps/place/Myo+Cafe/data=!4m7!3m6!1s0x484490116556a9a7:0x372c5658c3ba6032!8m2!3d51.9013791!4d-8.4761667!16s%2Fg%2F11bxc60jmt!19sChIJp6lWZRGQREgRMmC6w1hWLDc?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Costigan's Pub,56,Pub,Irish,"11 Washington Street West, Centre, Cork, T12 N768, Ireland",4.6,46,€10-25,+353 86 890 1234,https://www.google.com/url?q=http://www.costiganspub.ie/&opi=79508299&sa=U&ved=0ahUKEwjU54Ow3ZiQAxUkcGwGHTHPJmsQ61gIGigS&usg=AOvVaw0JQeygtbM-Ft8-DTjru0KX,https://www.google.com/maps/place/Costigan%27s+Pub/data=!4m7!3m6!1s0x48449010b941d16b:0xdb51b474dba3ad35!8m2!3d51.8972871!4d-8.4801618!16s%2Fg%2F1txnnwbb!19sChIJa9FBuRCQREgRNa2j23S0Uds?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Takeaway, Delivery",Bar
Eco on Winthrop,57,Cafe,Irish,"8 Winthrop St, Centre, Cork, T12 EH1Y, Ireland",4.4,44,€10-25,+353 21 901 2345,https://www.google.com/url?q=https://www.instagram.com/ecoonwinthrop%3Figsh%3DYTU0cGZhd2lrank%253D%26utm_source%3Dqr&opi=79508299&sa=U&ved=0ahUKEwih-_m83ZiQAxVcZmwGHXLzAnoQ61gIGigS&usg=AOvVaw0tPWNYRLEQnI6iYPrkDhLv,https://www.google.com/maps/place/Eco+on+Winthrop/data=!4m7!3m6!1s0x4844900fe0f581b5:0xe3bd37af337a20c7!8m2!3d51.8983261!4d-8.4704044!16s%2Fg%2F11btx7kvrm!19sChIJtYH14A-QREgRxyB6M683veM?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Box'd! Coffee Co,58,Cafe,Sweets and Savory,"Link Rd, Ballincollig, Cork, P31 FX77, Ireland",4.7,47,€5-15,+353 21 435 8533,https://www.google.com/url?q=https://boxd-coffee.ie/&opi=79508299&sa=U&ved=0ahUKEwjRjIzJ3ZiQAxWbS3ADHfLiK00Q61gIFigO&usg=AOvVaw0Lx4Xj3eD_rnqfBpKsvewC,https://www.google.com/maps/place/Box%27d!+Coffee+Co/data=!4m7!3m6!1s0x484493d8e14d50fb:0xb0963c4d66e6cd68!8m2!3d51.8875008!4d-8.581679!16s%2Fg%2F11qh93h686!19sChIJ-1BN4diTREgRaM3mZk08lrA?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
The Castle Inn,59,Pub,Irish,"99 S Main St, Centre, Cork, T12 XD6D, Ireland",4.7,47,€10-25,+353 21 012 3456,https://www.google.com/url?q=http://www.twitter.com/%40TheCastleInn99&opi=79508299&sa=U&ved=0ahUKEwj_wo3V3ZiQAxUBT2wGHWkLKSgQ61gIGigS&usg=AOvVaw0c9yOx4m6WvtYwWADq0OOW,https://www.google.com/maps/place/The+Castle+Inn/data=!4m7!3m6!1s0x48449010cbe33e05:0x52276be3d3002490!8m2!3d51.8981485!4d-8.4774328!16s%2Fg%2F11bzt20cjg!19sChIJBT7jyxCQREgRkCQA0-NrJ1I?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Takeaway, Delivery",Bar
The Workshop Cork,60,Restaurant,Syrian,"Ballygarvan, Lios Cross, Upper Ballygarven, Co. Cork, Ireland",4.5,45,€10-25,+353 21 123 4567,https://www.google.com/url?q=http://www.facebook.com/theworkshopcork&opi=79508299&sa=U&ved=0ahUKEwjOpazh3ZiQAxWgWXADHcIlAr4Q61gIFygS&usg=AOvVaw1Gzj_C0BLPBYwgEGPs-R3C,https://www.google.com/maps/place/The+Workshop+Cork/data=!4m7!3m6!1s0x48448f1d27803615:0x7d3a530c97e73d92!8m2!3d51.8303892!4d-8.4883185!16s%2Fg%2F1jky9_321!19sChIJFTaAJx2PREgRkj3nlwxTOn0?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",
The Four Liars Bistro,61,Pub,Irish,"O'Connell Square, Shandon, Cork, T23 P592, Ireland",4.7,47,€20-35,+353 87 123 4567,https://www.google.com/url?q=https://www.fourliars.ie/&opi=79508299&sa=U&ved=0ahUKEwiWkLPt3ZiQAxW1a2wGHeWiEDsQ61gIGygS&usg=AOvVaw2hoaQQzL8B90VwDeur5GDx,https://www.google.com/maps/place/The+Four+Liars+Bistro/data=!4m7!3m6!1s0x4844903d259294a1:0xff9e9317a1570de2!8m2!3d51.9026137!4d-8.4767934!16s%2Fg%2F11hbv8x28j!19sChIJoZSSJT2QREgR4g1XoReTnv8?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
The Gallows Bar,62,Bar,Continental,"160 Bandon Rd, The Lough, Cork, T12 TH22, Ireland",4.4,44,€10-25,+353 21 234 5678,,https://www.google.com/maps/place/The+Gallows+Bar/data=!4m7!3m6!1s0x4844901894ae5f29:0x91ce9f94edf038db!8m2!3d51.8926342!4d-8.4813409!16s%2Fg%2F11bbrm90qv!19sChIJKV-ulBiQREgR2zjw7ZSfzpE?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Takeaway, Delivery",Bar
The Courtyard on Sober Lane,63,Bar,Portuguese,"S Gate Bridge, Cork, Ireland",4.3,43,€10-25,+353 21 345 6789,https://www.google.com/url?q=http://thecourtyardonsoberlane.com/&opi=79508299&sa=U&ved=0ahUKEwi0y_aG3piQAxWJUWwGHSuvAZsQ61gIGigQ&usg=AOvVaw3Fae4-O4EAoE9HQezITw8k,https://www.google.com/maps/place/The+Courtyard+on+Sober+Lane/data=!4m7!3m6!1s0x4844901a3fe1bedb:0xe91250f5b1eeacf3!8m2!3d51.8952859!4d-8.4754385!16s%2Fg%2F11bwyh39p6!19sChIJ277hPxqQREgR86zusfVQEuk?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Woolshed Baa & Grill - Cork,64,Restaurant,Continental,"Mardyke Entertainment Complex, The, Sheares St, Cork, T12 CX7A, Ireland",4.3,43,€20-35,+353 83 345 6789,https://www.google.com/url?q=https://mardyke.com/woolshed/&opi=79508299&sa=U&ved=0ahUKEwjh08qT3piQAxVdcGwGHTqgKPoQ61gIFygS&usg=AOvVaw0avR1HkMWnnbMNGmRHFsZK,https://www.google.com/maps/place/Woolshed+Baa+%26+Grill+-+Cork/data=!4m7!3m6!1s0x484490170988cdaf:0x5ab39a77cd0c29eb!8m2!3d51.8981068!4d-8.4810963!16s%2Fg%2F11btmqcc4b!19sChIJr82ICReQREgR6ykMzXeas1o?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway",Bar
The Gallery Restaurant,65,Pub,Irish,"Clayton Hotel, Silver Springs, Tivoli, Cork, T23 E244, Ireland",3.7,37,€20-35,+353 21 456 7890,https://www.google.com/url?q=http://www.claytonhotelsilversprings.com/dining/&opi=79508299&sa=U&ved=0ahUKEwj8tICg3piQAxXIa2wGHfIULtUQ61gIGigS&usg=AOvVaw0fKXNlRmWuPLzENkHrS4ey,https://www.google.com/maps/place/The+Gallery+Restaurant/data=!4m7!3m6!1s0x48449adbe407a7f5:0x15964b67f6e1bf74!8m2!3d51.9043363!4d-8.4235094!16s%2Fg%2F1tlc_l44!19sChIJ9acH5NuaREgRdL_h9mdLlhU?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Ma Dullea's,66,Bar,Italian,"Ballyphehane, Cork, Ireland",4.6,46,€10-25,+353 21 567 8901,,https://www.google.com/maps/place/Ma+Dullea%27s/data=!4m7!3m6!1s0x4844901beee2dcb9:0x1d2bda97f0191ac2!8m2!3d51.8923407!4d-8.4748826!16s%2Fg%2F11s8kl870x!19sChIJudzi7huQREgRwhoZ8JfaKx0?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Takeaway, Delivery",Bar
Mason at Tuckey St,67,Restaurant,Asian,"Tuckey St, Centre, Cork, Ireland",4.1,41,€20-35,+353 85 567 8901,,https://www.google.com/maps/place/Mason+at+Tuckey+St/data=!4m7!3m6!1s0x484491a2188e3755:0x2141a0b641aefef!8m2!3d51.8969421!4d-8.4760017!16s%2Fg%2F11rrbqkb0k!19sChIJVTeOGKKRREgR7-8aZAsaFAI?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Takeaway, Delivery",Bar
Aroma,68,Pub,Irish,"6 Emmett Pl, Centre, Cork, T12 W923, Ireland",4.5,45,€20-35,+353 21 678 9012,https://www.google.com/url?q=http://www.aromarestaurant.ie/&opi=79508299&sa=U&ved=0ahUKEwjj7cjC3piQAxXlTmwGHfJoBCAQ61gIGygS&usg=AOvVaw0ogId5ip62XRX9M_cOeRTa,https://www.google.com/maps/place/Aroma/data=!4m7!3m6!1s0x48449011cb584885:0xebfc94978afe5a3b!8m2!3d51.8997671!4d-8.4725043!16s%2Fg%2F11bbrmh9xc!19sChIJhUhYyxGQREgRO1r-ipeU_Os?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Dwyers of Cork,69,Restaurant,Irish,"27-28 Washington St, Centre, Cork, T12 WC93, Ireland",4.5,45,€10-25,+353 21 482 1621,https://www.google.com/url?q=http://www.dwyersofcork.ie/&opi=79508299&sa=U&ved=0ahUKEwiK4rLP3piQAxXXTGwGHdSzPcoQ61gIGigS&usg=AOvVaw3yJEU5vAEg0qUzRQZ-ywVm,https://www.google.com/maps/place/Dwyers+of+Cork/data=!4m7!3m6!1s0x484491c8c882221f:0x9602e352fa67c174!8m2!3d51.8974068!4d-8.4784034!16s%2Fg%2F11fh_59dx6!19sChIJHyKCyMiRREgRdMFn-lLjApY?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Flemings Restaurant - Country House,70,Pub,Irish,Address not available,4.4,44,€20-35,+353 21 241 5635,https://www.google.com/url?q=https://flemingsrestaurantcountry.hotelu1.top/&opi=79508299&sa=U&ved=0ahUKEwjmravc3piQAxXdUGwGHXIFAm4Q61gIFCgQ&usg=AOvVaw16DYG7jqOptBkWrQK17EVg,https://www.google.com/maps/place/Flemings+Restaurant+-+Country+House/data=!4m7!3m6!1s0x4843652d28559721:0xae88c748d7d7a8dd!8m2!3d51.9056551!4d-8.4102913!16s%2Fg%2F1td5l2qf!19sChIJIZdVKC1lQ0gR3ajX10jHiK4?authuser=0&hl=en&rclk=1,Casual,Non-Veg,Takeaway,Bar
Gallagher's Cork,71,Restaurant,American,"32 MacCurtain Street, Victorian Quarter, Cork, T23 Y07X, Ireland",4.5,45,€20-35,+353 21 789 0123,https://www.google.com/url?q=https://www.gallagherscork.ie/&opi=79508299&sa=U&ved=0ahUKEwjxt4Dp3piQAxVWU2wGHcmXGdQQ61gIHCgS&usg=AOvVaw2o8pE2uQYFUOVhSv-zGA_i,https://www.google.com/maps/place/Gallagher%27s+Cork/data=!4m7!3m6!1s0x4844900e6ce96067:0xc53f667f2fbd3f9a!8m2!3d51.9015602!4d-8.4699928!16s%2Fg%2F1pv2h19yl!19sChIJZ2DpbA6QREgRmj-9L39mP8U?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Bunsen,72,Restaurant,Japanese,"4 French Church St, Centre, Cork, T12 K4XN, Ireland",4.6,46,€10-25,+353 21 890 1234,https://www.google.com/url?q=http://bunsen.ie/&opi=79508299&sa=U&ved=0ahUKEwjfm5D23piQAxVdR2wGHa4VK2kQ61gIGigS&usg=AOvVaw1A-LmSIF8rPoLXuE6DJRQl,https://www.google.com/maps/place/Bunsen/data=!4m7!3m6!1s0x4844901052dffa91:0x91298363fb3652e8!8m2!3d51.8992056!4d-8.4737402!16s%2Fg%2F11g6qww3f_!19sChIJkfrfUhCQREgR6FI2-2ODKZE?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Dashi Deli Sushi & Noodle Bar,73,Street Food,French,"11 Cook St, Centre, Cork, T12 AX58, Ireland",4.4,44,€10-25,+353 86 890 1234,https://www.google.com/url?q=https://dashideli.clickandcollection.com/&opi=79508299&sa=U&ved=0ahUKEwi9u_aC35iQAxWJUGcHHUBJBzEQ61gIGigS&usg=AOvVaw2RrmTRpG4oUq2YGNKy4s4J,https://www.google.com/maps/place/Dashi+Deli+Sushi+%26+Noodle+Bar/data=!4m7!3m6!1s0x484490100f1a7b0d:0x39efa6d309e1c90!8m2!3d51.8974856!4d-8.4716067!16s%2Fg%2F1260zqfh3!19sChIJDXsaDxCQREgRkByeMG36ngM?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Crème French Tacos,74,Restaurant,Indian,"42B MacCurtain Street, Victorian Quarter, Cork, T23 H583, Ireland",4.7,47,€10-25,+353 21 901 2345,https://www.google.com/url?q=https://cremefrenchtacos.com/&opi=79508299&sa=U&ved=0ahUKEwir_OOP35iQAxX9XmwGHR3XEOEQ61gIGigS&usg=AOvVaw3RtTO8KM-wHbK5trCDn_Im,https://www.google.com/maps/place/Cr%C3%A8me+French+Tacos/data=!4m7!3m6!1s0x48449186ba062b65:0xf3caa4f8e08f5d9f!8m2!3d51.9016644!4d-8.4690516!16s%2Fg%2F11rmx3yvl2!19sChIJZSsGuoaRREgRn12P4PikyvM?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Coriander Nepalese & Indian Restaurant,75,Pub,Irish,"Tramway Terrace, E Douglas St, Douglas, Cork, T12 AW88, Ireland",4.5,45,€20-35,+353 21 012 3456,https://www.google.com/url?q=https://coriander.ie/&opi=79508299&sa=U&ved=0ahUKEwizhtGc35iQAxXXS2cHHaImORQQ61gIFygS&usg=AOvVaw24pm2CXvaMw_I_IIlwcnXl,https://www.google.com/maps/place/Coriander+Nepalese+%26+Indian+Restaurant/data=!4m7!3m6!1s0x4844852192125027:0x7d0984c4dd795f5d!8m2!3d51.8769282!4d-8.435575!16s%2Fg%2F11fpschrlz!19sChIJJ1ASkiGFREgRXV953cSECX0?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
The Rock,76,Cafe,Irish,"Gillabbey St, The Lough, Cork, Ireland",4.4,44,€10-25,+353 83 901 2345,https://www.google.com/url?q=https://www.facebook.com/rockbarcork/info&opi=79508299&sa=U&ved=0ahUKEwjmitmp35iQAxVlTWwGHVJcH8YQ61gIGygS&usg=AOvVaw1cpTIgu5NSK9GigCRHn6w9,https://www.google.com/maps/place/The+Rock/data=!4m7!3m6!1s0x484490228ebad7b3:0xbda7ab5e2cfcfade!8m2!3d51.8937692!4d-8.4845308!16s%2Fg%2F1pzrfcwzq!19sChIJs9e6jiKQREgR3vr8LF6rp70?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Takeaway, Delivery",Bar
Bean & Leaf,77,Cafe,Sweets and Savory,"Victoria Cross Rd, Cork, Ireland",4.4,44,€5-15,+353 21 123 4567,,https://www.google.com/maps/place/Bean+%26+Leaf/data=!4m7!3m6!1s0x48449170f0a53437:0xccc38b863385ca6!8m2!3d51.8926638!4d-8.5056823!16s%2Fg%2F11sv_v22jj!19sChIJNzSl8HCRREgRplw4Y7g4zAw?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Takeaway, Delivery",Bar
Soma 2,78,Cafe,Irish,"Well Rd, Ballinlough, Cork, T12 K702, Ireland",4.7,47,€5-15,+353 21 234 5678,https://www.google.com/url?q=https://somacoffeecompany.ie/&opi=79508299&sa=U&ved=0ahUKEwjBs8rB35iQAxXRWXADHe6ELmgQ61gIFigO&usg=AOvVaw2BcMsYnU66tLUWettomTlu,https://www.google.com/maps/place/Soma+2/data=!4m7!3m6!1s0x4844859616f4aa81:0x3f3a7a26c1925643!8m2!3d51.8822727!4d-8.4384683!16s%2Fg%2F11tgbsx295!19sChIJgar0FpaFREgRQ1aSwSZ6Oj8?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
The Webworkhouse,79,Restaurant,Japanese,"8A Winthrop St, Centre, Cork, T12 EE6N, Ireland",4.4,44,€10-25,+353 85 234 5678,https://www.google.com/url?q=http://www.webworkhouse.com/&opi=79508299&sa=U&ved=0ahUKEwil4_rN35iQAxV1e2wGHW-AOXoQ61gIFigS&usg=AOvVaw3msw-VKfl0Xt-Ku7bBlgFf,https://www.google.com/maps/place/The+Webworkhouse/data=!4m7!3m6!1s0x4844900fe061c739:0xa1b117dfe3f5babe!8m2!3d51.8982866!4d-8.4704115!16s%2Fg%2F1td_b2dc!19sChIJOcdh4A-QREgRvrr1498XsaE?authuser=0&hl=en&rclk=1,Trendy,Non-Veg,Takeaway,Bar
Ramen Anglesea Street,80,Cafe,Irish,"21 Anglesea St, Ballintemple, Cork, T12 V329, Ireland",4.2,42,€10-25,+353 21 345 6789,https://www.google.com/url?q=http://www.ramen.ie/&opi=79508299&sa=U&ved=0ahUKEwico4XZ35iQAxX8WXADHaseHjYQ61gIGigS&usg=AOvVaw2mIKmbZ6ArNMsoqF9-PUgJ,https://www.google.com/maps/place/Ramen+Anglesea+Street/data=!4m7!3m6!1s0x484490044580b4f1:0x9b2d8f375487a0a9!8m2!3d51.8942071!4d-8.4649507!16s%2Fg%2F1q5bmp0zb!19sChIJ8bSARQSQREgRqaCHVDePLZs?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
